text,lang_zh,subType,dir
motion blur,动态模糊,风格,画面效果/风格
chromatic aberration,色差,风格,画面效果/风格
sparkle,闪耀效果,风格,画面效果/风格
jpeg artifacts,JPEG 压缩失真,风格,画面效果/风格
blurry,模糊的,风格,画面效果/风格
cinematic lighting,电影光效,风格,画面效果/风格
glowing light,荧光,风格,画面效果/风格
god rays,神圣感顶光,风格,画面效果/风格
ray tracing,光线追踪,风格,画面效果/风格
reflection light,反射光,风格,画面效果/风格
backlighting,逆光,风格,画面效果/风格
blending,混合,风格,画面效果/风格
bloom,盛开,风格,画面效果/风格
chiaroscuro,明暗对比,风格,画面效果/风格
chromatic aberration abuse,色差滥用,风格,画面效果/风格
depth of field,背景虚化,风格,画面效果/风格
dithering,抖动,风格,画面效果/风格
drop shadow,立绘阴影,风格,画面效果/风格
film grain,胶片颗粒感/老电影滤镜,风格,画面效果/风格
Fujicolor,富士色彩,风格,画面效果/风格
halftone,半调风格,风格,画面效果/风格
image fill,图像填充,风格,画面效果/风格
motion lines,体现运动的线,风格,画面效果/风格
multiple monochrome,多重单色,风格,画面效果/风格
optical illusion,视错觉,风格,画面效果/风格
anaglyph,互补色,风格,画面效果/风格
stereogram,立体画,风格,画面效果/风格
scanlines,扫描线,风格,画面效果/风格
silhouette,剪影,风格,画面效果/风格
speed lines,速度线,风格,画面效果/风格
vignetting,晕影,风格,画面效果/风格
rim light,轮廓光,风格,画面效果/光照
Tyndall effect,丁达尔效应,风格,画面效果/光照
light leaks,漏光光效,风格,画面效果/光照
background light,背景光,风格,画面效果/光照
moody lighting,氛围光照,风格,画面效果/光照
metallic luster,金属光泽,风格,画面效果/光照
lens flare,透镜光晕,风格,画面效果/光照
Cinematic Lighting,电影级光照,风格,画面效果/光照
glowing neon lights,霓虹灯,风格,画面效果/光照
Volumetric Lighting,体积光,风格,画面效果/光照
available light,自然光,风格,画面效果/光照
