text,lang_zh,subType,dir
Mutated hands and fingers,变异的手和手指。,普通,反向/人物
missing fingers,缺失手指,普通,反向/人物
bad hands,不理想的手部表现,普通,反向/人物
Deformed,畸形的。,普通,反向/人物
Bad anatomy,解剖不良。,普通,反向/人物
Disfigured,毁容。,普通,反向/人物
Poorly drawn face,脸部画得不好。,普通,反向/人物
Mutated,变异的。,普通,反向/人物
Extra limb,多余的肢体。,普通,反向/人物
Ugly,丑陋。,普通,反向/人物
Poorly drawn hands,手部画得很差。,普通,反向/人物
Missing limb,缺少的肢体。,普通,反向/人物
Floating limbs,漂浮的四肢。,普通,反向/人物
Disconnected limbs,肢体不连贯。,普通,反向/人物
Malformed hands,畸形的手。,普通,反向/人物
Out of focus,脱离焦点。,普通,反向/人物
Long neck,长颈。,普通,反向/人物
Long body,身体长。,普通,反向/人物
bad anatomy,不准确的解剖结构,普通,反向/人物
lowres,低分辨率,普通,反向/画质
worst quality,最差质量,普通,反向/画质
low quality,低质量,普通,反向/画质
normal quality,普通质量,普通,反向/画质
jpeg artifacts,JPEG图像伪影,普通,反向/画质
blurry,模糊,普通,反向/画质
cropped,裁剪,普通,反向/画质
text,文字,普通,反向/其他
error,错误,普通,反向/其他
extra digit,多余的数字,普通,反向/其他
fewer digits,缺少数字,普通,反向/其他
signature,签名,普通,反向/其他
watermark,水印,普通,反向/其他
username,用户名,普通,反向/其他
